Employee ID,Gender,Age,ServiceYear,Education,MarrigeStatus,Nationality,Department,EmploymentStatus
2016040188,F,33.38,6.98,Bachelor,Unmarried,China,20069031,1
2016050003,F,32.63,6.98,Bachelor,Married,China,20060010,1
2016050027,F,35.08,6.96,Bachelor,Unmarried,China,20069031,1
2016050039,F,45.22,6.90,Master,Married,Australia,20060010,1
2016050049,M,31.79,6.83,Master,Unmarried,China,00402000,1
2016060003,F,40.75,6.90,Master,Married,China,00101000,1
2016060006,M,41.59,6.88,Bachelor,Married,China,20060010,1
2016060007,F,35.47,6.88,Bachelor,Married,China,20060010,1
2016060024,F,35.50,6.87,Bachelor,Unmarried,China,00404000,1
2016060026,F,38.70,6.86,Master,Married,Australia,20069031,0
2016060027,F,32.31,6.84,Master,Unmarried,China,00101000,1
2016060028,F,32.94,3.12,Bachelor,Unmarried,China,20060040,1
2016060031,F,37.42,6.86,Bachelor,Unmarried,China,20060010,1
2016060032,F,33.86,6.86,Bachelor,Unmarried,China,20060010,1
2016070016,F,31.36,6.83,Bachelor,Unmarried,China,20060040,1
2016070026,F,37.60,6.81,Bachelor,Married,China,20060010,1
2016070050,F,34.14,6.79,Bachelor,Unmarried,China,00104000,1
2016070051,F,34.06,6.79,Bachelor,Unmarried,China,20060010,1
2016070165,F,37.24,6.76,Bachelor,Married,China,00103000,1
2016080011,F,38.13,6.71,Bachelor,Married,China,20060040,1
2016080016,F,40.00,6.68,Bachelor,Married,China,20060010,1
2016090024,M,38.96,6.63,Bachelor,Married,China,00105000,1
2016090112,F,39.85,6.61,Bachelor,Married,China,20060010,1
2016090113,M,41.81,6.59,Bachelor,Married,China,20060010,1
2016090137,F,40.06,7.51,Bachelor,Married,China,20060040,1
2016100021,F,29.88,6.52,Bachelor,Unmarried,China,20069051,0
2016100029,F,38.70,6.51,Bachelor,Married,China,20060010,1
2016100096,F,37.56,6.47,Bachelor,Married,China,00103000,1
2016100097,F,31.83,6.46,Bachelor,Married,China,20069031,0
2016120009,F,34.55,6.38,Bachelor,Married,China,20060010,1
2016120035,F,45.96,6.30,Master,Married,China,20069031,0
2017015107,F,31.48,6.33,Bachelor,Unmarried,China,00403000,1
2017015173,F,30.38,6.24,Bachelor,Unmarried,China,20069031,1
2017020010,F,39.45,6.21,Bachelor,Married,China,20060010,1
2017020021,M,37.88,6.19,Master,Unmarried,China,20060010,1
2017045127,F,34.12,6.04,Bachelor,Unmarried,China,00103000,1
2017045259,F,28.81,6.00,Bachelor,Unmarried,China,00403000,1
2017060014,F,38.95,5.88,Bachelor,Married,China,20060010,1
2017060016,F,33.19,5.88,Master,Unmarried,China,20060010,1
2017060019,F,28.56,4.83,Bachelor,Unmarried,China,20060040,1
2017060042,F,42.33,5.85,Bachelor,Married,China,00101000,1
2017065383,F,27.67,5.83,Bachelor,Unmarried,China,20060040,1
2017075479,F,31.81,5.77,Bachelor,Married,China,20069031,0
2017075483,F,30.61,5.83,Bachelor,Married,China,20060010,1
2017075485,F,30.41,5.83,Bachelor,Unmarried,China,20060010,1
2017075570,F,31.28,5.75,Bachelor,Unmarried,China,20060010,1
2017075650,F,29.10,5.73,Bachelor,Unmarried,China,20060010,1
2017088689,F,42.66,5.65,Bachelor,Unmarried,China,20069021,1
2017098786,F,32.20,5.64,Bachelor,Married,China,20060010,1
2017098798,F,30.05,5.54,Bachelor,Unmarried,China,00106000,1
2017098851,F,33.52,5.56,Bachelor,Married,China,20060010,1
2017108905,F,30.18,5.58,Bachelor,Unmarried,China,20060040,1
2018019104,F,28.38,5.24,Bachelor,Unmarried,China,20069031,1
2018029226,M,39.33,5.17,Master,Married,China,00101000,1
2018039331,F,31.69,5.04,Bachelor,Married,China,00105000,1
2018049471,F,34.46,5.01,Master,Married,China,20069031,0
2018059656,F,39.37,4.93,Bachelor,Married,China,20069031,0
2018059658,F,34.65,4.93,Master,Married,China,20060010,1
2018059694,M,37.09,4.91,Bachelor,Unmarried,China,20060040,1
2018069808,F,29.91,4.89,Bachelor,Married,China,20069051,0
2018069832,F,26.72,4.90,Bachelor,Unmarried,China,20060010,1
2018069910,M,27.23,4.83,Master,Unmarried,China,20060040,1
2018070728,F,29.67,4.73,Bachelor,Unmarried,China,20069031,0
2018079944,F,43.41,4.75,Bachelor,Married,China,20069051,0
2018079946,F,29.54,4.83,Master,Married,China,20060010,1
2018079967,F,31.31,4.81,Bachelor,Married,China,20069041,0
2018081823,F,33.73,4.65,Bachelor,Married,China,20060040,1
2018081830,M,31.53,4.62,Bachelor,Unmarried,China,20060040,1
